trial_no,A_aug1_type,A_aug1_magnitude,A_aug2_type,A_aug2_magnitude,B_aug1_type,B_aug1_magnitude,B_aug2_type,B_aug2_magnitude,C_aug1_type,C_aug1_magnitude,C_aug2_type,C_aug2_magnitude,D_aug1_type,D_aug1_magnitude,D_aug2_type,D_aug2_magnitude,E_aug1_type,E_aug1_magnitude,E_aug2_type,E_aug2_magnitude,mean_late_val_acc,expected_accuracy_increase(%)
102,shear,0.075,translate-x,0.174,horizontal-flip,0.659,crop,0.096,horizontal-flip,0.156,emboss,0.022,coarse-salt-pepper,0.596,fog,0.251,translate-y,0.033,add-to-hue-and-saturation,0.666,0.5026666666666667,9.933333333333339
90,vertical-flip,0.059,additive-gaussian-noise,0.051,vertical-flip,0.03,emboss,0.959,invert,0.759,brighten,0.152,brighten,0.9,clouds,0.524,horizontal-flip,0.407,clouds,0.169,0.501,9.766666666666667
55,crop,0.105,translate-y,0.041,horizontal-flip,0.159,horizontal-flip,0.953,brighten,0.976,emboss,0.035,add-to-hue-and-saturation,0.579,gamma-contrast,0.303,shear,0.941,vertical-flip,0.949,0.49899999999999994,9.566666666666663
80,brighten,0.073,crop,0.077,horizontal-flip,0.021,add-to-hue-and-saturation,0.829,sharpen,0.375,crop,0.009,rotate,0.981,rotate,0.105,horizontal-flip,0.562,sharpen,0.548,0.49466666666666664,9.133333333333333
82,shear,0.071,horizontal-flip,0.082,coarse-dropout,0.166,brighten,0.967,sharpen,0.901,horizontal-flip,0.035,coarse-salt-pepper,0.816,fog,0.451,shear,0.392,coarse-salt-pepper,0.018,0.49433333333333335,9.100000000000003
86,sharpen,0.073,crop,0.149,horizontal-flip,0.368,fog,0.892,brighten,0.835,clouds,0.008,horizontal-flip,0.771,shear,0.218,vertical-flip,0.245,vertical-flip,0.23,0.49333333333333335,9.000000000000002
172,emboss,0.596,crop,0.115,horizontal-flip,0.671,brighten,0.591,horizontal-flip,0.162,dropout,0.266,sharpen,0.907,brighten,0.223,translate-x,0.886,add-to-hue-and-saturation,0.624,0.49300000000000005,8.966666666666672
115,translate-y,0.023,gaussian-blur,0.509,horizontal-flip,0.388,coarse-dropout,0.623,brighten,0.908,horizontal-flip,0.007,invert,0.836,crop,0.135,translate-y,0.564,translate-y,0.124,0.48866666666666664,8.533333333333331
27,coarse-dropout,0.177,rotate,0.276,translate-x,0.309,shear,0.098,gamma-contrast,0.662,dropout,0.043,sharpen,0.407,brighten,0.465,gamma-contrast,0.987,coarse-dropout,0.3,0.488,8.466666666666667
31,clouds,0.745,crop,0.15,dropout,0.166,horizontal-flip,0.256,invert,0.911,crop,0.045,translate-y,0.379,horizontal-flip,0.817,coarse-dropout,0.97,horizontal-flip,0.332,0.48699999999999993,8.366666666666662
26,dropout,0.087,crop,0.097,horizontal-flip,0.31,sharpen,0.48,horizontal-flip,0.659,clouds,0.032,invert,0.778,vertical-flip,0.163,gamma-contrast,0.986,dropout,0.238,0.486,8.266666666666666
160,clouds,0.057,sharpen,0.356,horizontal-flip,0.067,brighten,0.955,translate-y,0.998,coarse-dropout,0.22,invert,0.805,brighten,0.151,shear,0.178,vertical-flip,0.313,0.48566666666666664,8.23333333333333
207,sharpen,0.735,clouds,0.069,horizontal-flip,0.798,sharpen,0.393,emboss,0.03,add-to-hue-and-saturation,0.049,coarse-dropout,0.542,brighten,0.761,fog,0.908,clouds,0.653,0.48500000000000004,8.166666666666671
74,rotate,0.058,coarse-dropout,0.277,horizontal-flip,0.021,horizontal-flip,0.054,horizontal-flip,0.139,emboss,0.027,shear,0.606,additive-gaussian-noise,0.677,translate-x,0.938,crop,0.007,0.48500000000000004,8.166666666666671
145,emboss,0.017,sharpen,0.911,horizontal-flip,0.153,brighten,0.768,gaussian-blur,0.887,horizontal-flip,0.008,shear,0.791,horizontal-flip,0.006,invert,0.153,emboss,0.208,0.4843333333333333,8.099999999999996
226,coarse-dropout,0.536,additive-gaussian-noise,0.031,horizontal-flip,0.93,crop,0.255,coarse-dropout,0.506,clouds,0.004,add-to-hue-and-saturation,0.988,horizontal-flip,0.638,horizontal-flip,0.47,additive-gaussian-noise,0.078,0.4833333333333334,8.000000000000007
28,brighten,0.199,fog,0.029,horizontal-flip,0.122,sharpen,0.608,gamma-contrast,0.929,translate-y,0.066,fog,0.852,crop,0.573,emboss,0.967,fog,0.28,0.48266666666666663,7.933333333333331
189,gaussian-blur,0.002,sharpen,0.783,gamma-contrast,0.146,brighten,0.003,clouds,0.78,shear,0.328,additive-gaussian-noise,0.281,clouds,0.485,sharpen,0.178,coarse-dropout,0.434,0.482,7.866666666666666
76,translate-y,0.055,rotate,0.168,shear,0.022,horizontal-flip,0.489,clouds,0.124,coarse-salt-pepper,0.037,fog,0.877,fog,0.373,translate-x,0.275,vertical-flip,0.269,0.48066666666666663,7.733333333333331
85,translate-x,0.054,clouds,0.318,horizontal-flip,0.031,brighten,0.988,add-to-hue-and-saturation,0.98,vertical-flip,0.003,coarse-dropout,0.133,additive-gaussian-noise,0.027,coarse-salt-pepper,0.862,translate-x,0.199,0.48033333333333333,7.700000000000001
